"Name","FullName","SizeKB","LastWriteTime"
"baseline-router.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\baseline\baseline-router.conf","0,35","2025-10-16 07:56:07"
"FW-DC-01.rules","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\firewalls\FW-DC-01.rules","1,03","2024-10-11 00:00:00"
"FW-DMZ-01.rules","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\firewalls\FW-DMZ-01.rules","0,86","2024-10-12 00:00:00"
"access-2024-10-14.log","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\logs\access-2024-10-14.log","1,31","2024-10-14 00:00:00"
"security-2024-10-13.log","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\logs\security-2024-10-13.log","1,34","2024-10-13 00:00:00"
"security-2024-10-14.log","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\logs\security-2024-10-14.log","1,25","2024-10-14 00:00:00"
"system-2024-10-13.log","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\logs\system-2024-10-13.log","1,06","2024-10-13 00:00:00"
"system-2024-10-14.log","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\logs\system-2024-10-14.log","1,27","2024-10-14 00:00:00"
"RT-EDGE-01.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\routers\RT-EDGE-01.conf","0,83","2024-10-14 00:00:00"
"RT-EDGE-02.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\routers\RT-EDGE-02.conf","0,58","2024-10-10 00:00:00"
"RT-LAGER-01.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\routers\RT-LAGER-01.conf","0,59","2024-10-08 00:00:00"
"SW-ACCESS-01.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\switches\SW-ACCESS-01.conf","0,51","2024-09-28 00:00:00"
"SW-CORE-01.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\switches\SW-CORE-01.conf","0,76","2024-10-13 00:00:00"
"SW-CORE-02.conf","C:\Users\simme\Desktop\scriptspr?k\workshop-4-scriptsprak\network_configs\switches\SW-CORE-02.conf","0,59","2024-10-09 00:00:00"
